year,qtr,cbsa,low,high
1999,3,12420,.51,1.02
1999,3,12540,1.47,1.61
1999,3,12580,1.35,1.47
1999,3,12620,.51,1.02
1999,3,12700,1.61,1.79
1999,3,12940,1.02,1.14
1999,3,12980,.51,1.02
1999,3,13020,.51,1.02
1999,3,13140,.51,1.02
1999,3,13220,.51,1.02
1999,3,13380,1.79,2.06
1999,3,13460,2.06,2.51
1999,3,13740,1.02,1.14
1999,3,13780,.51,1.02
1999,3,13820,1.02,1.14
1999,3,13900,.51,1.02
1999,3,13980,1.14,1.25
1999,3,14010,.51,1.02
1999,3,14020,1.02,1.14
1999,3,14100,.51,1.02
1999,3,14260,1.35,1.47
1999,3,14460,.51,1.02
1999,3,14500,1.14,1.25
1999,3,14540,1.14,1.25
1999,3,14740,2.51,
1999,3,14860,1.14,1.25
1999,3,15180,.51,1.02
1999,3,15260,1.14,1.25
1999,3,15380,.51,1.02
1999,3,15500,1.14,1.25
1999,3,15540,1.02,1.14
1999,3,15680,1.79,2.06
1999,3,15940,1.14,1.25
1999,3,15980,1.79,2.06
1999,3,16020,.51,1.02
1999,3,16060,.51,1.02
1999,3,16180,1.14,1.25
1999,3,16220,.51,1.02
1999,3,16300,.51,1.02
1999,3,16540,1.14,1.25
1999,3,16580,.51,1.02
1999,3,16620,.51,1.02
1999,3,16700,1.47,1.61
1999,3,16740,1.02,1.14
1999,3,16820,1.25,1.35
1999,3,16860,.51,1.02
1999,3,16940,1.25,1.35
1999,3,16980,1.02,1.14
1999,3,17020,1.61,1.79
1999,3,17140,1.02,1.14
1999,3,17300,1.61,1.79
1999,3,17420,1.02,1.14
1999,3,17460,.51,1.02
1999,3,17660,2.06,2.51
1999,3,17780,.51,1.02
1999,3,17820,1.47,1.61
1999,3,17860,1.02,1.14
1999,3,17900,1.14,1.25
1999,3,17980,1.14,1.25
1999,3,18020,.51,1.02
1999,3,18140,1.02,1.14
1999,3,18580,.51,1.02
1999,3,18700,1.35,1.47
1999,3,18880,1.79,2.06
1999,3,19060,1.02,1.14
1999,3,19100,.51,1.02
1999,3,19140,.51,1.02
1999,3,19180,.51,1.02
1999,3,19300,2.06,2.51
1999,3,19340,.51,1.02
1999,3,19380,.51,1.02
1999,3,19460,1.14,1.25
1999,3,19500,.51,1.02
1999,3,19660,2.06,2.51
1999,3,19740,1.25,1.35
1999,3,19780,.51,1.02
1999,3,19820,.51,1.02
1999,3,20020,1.02,1.14
1999,3,20100,1.47,1.61
1999,3,20220,.51,1.02
1999,3,20260,.51,1.02
1999,3,20500,.51,1.02
1999,3,20700,1.79,2.06
1999,3,20740,.51,1.02
1999,3,20940,1.25,1.35
1999,3,21060,1.14,1.25
1999,3,21140,.51,1.02
1999,3,21300,.51,1.02
1999,3,21340,1.02,1.14
1999,3,21500,.51,1.02
1999,3,21660,1.61,1.79
1999,3,21780,.51,1.02
1999,3,21820,1.25,1.35
1999,3,22020,.51,1.02
1999,3,22140,.51,1.02
1999,3,22180,1.79,2.06
1999,3,22220,1.02,1.14
1999,3,22380,1.35,1.47
1999,3,22420,1.02,1.14
1999,3,22500,.51,1.02
1999,3,22520,1.25,1.35
1999,3,22540,.51,1.02
1999,3,22660,1.61,1.79
1999,3,22900,.51,1.02
1999,3,23060,.51,1.02
1999,3,23420,1.25,1.35
1999,3,23460,1.02,1.14
1999,3,23540,1.02,1.14
1999,3,23580,1.35,1.47
1999,3,23900,1.61,1.79
1999,3,24020,1.25,1.35
